metodo,nome_sequencia,fator_ruido,quantidade_observacoes,n,media_ns,desvio_padrao_ns,minimo_ns,q1_ns,mediana_ns,q3_ns,p95_ns,maximo_ns,media_ms,mediana_ms,q1_ms,q3_ms,p95_ms
forward,troca_central_longa,0.75,6,1000,5120917.594,449827.8349968351,4598879,4911706.25,5058630.0,5250182.75,5585578.8,12418020,5.120917594,5.05863,4.91170625,5.25018275,5.5855787999999995
forward,troca_central_longa,1.0,6,1000,5074279.926,312610.6964819591,4588404,4883661.5,5025522.5,5198617.75,5532557.4,8248319,5.074279926,5.0255225,4.8836615,5.19861775,5.5325574
forward,troca_central_longa,1.25,6,1000,5036525.268,356838.2389808933,4568861,4849325.5,4999713.0,5153907.75,5420027.75,10069874,5.036525268,4.999713,4.8493255,5.15390775,5.42002775
forward,troca_central_longa,1.5,6,1000,4967984.564,291370.19148977834,4508162,4790706.5,4921435.0,5080885.75,5390075.399999999,9295189,4.967984564,4.921435,4.7907065,5.08088575,5.3900754
forward,troca_central_longa,2.0,6,1000,4844565.377,155167.5359506296,4541180,4732913.0,4829259.5,4932526.0,5128906.4,5531090,4.844565377,4.8292595,4.732913,4.932526,5.1289064
forward_com_abstencao,circuito_antihorario,0.5,6,1000,6332856.304,202944.34489285835,5800298,6189269.75,6320962.0,6454563.25,6699048.6,6995202,6.332856304,6.320962,6.18926975,6.45456325,6.699048599999999
forward_com_abstencao,circuito_antihorario,0.75,6,1000,6363210.411,205404.09365437154,5828364,6227610.5,6344490.0,6486467.0,6700618.9,7275975,6.363210411000001,6.34449,6.2276105,6.486467,6.7006189
forward_com_abstencao,circuito_antihorario,1.0,6,1000,6372458.224,216510.04970057882,5858223,6227421.0,6366393.0,6507621.5,6751446.05,7336095,6.372458224000001,6.366393,6.227421,6.5076215,6.75144605
forward_com_abstencao,circuito_antihorario,1.25,6,1000,6271907.665,223281.05445336006,5798462,6123571.25,6251471.5,6392222.5,6619324.8,8143247,6.271907665,6.2514715,6.12357125,6.3922225,6.6193248
forward_com_abstencao,circuito_antihorario,1.5,6,1000,6212485.341,263095.84152619157,5579092,6072153.5,6199920.5,6325194.25,6562157.05,10557104,6.212485341,6.1999205,6.0721535,6.32519425,6.56215705
